"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_3D7SRCLKhupFgiZ",8,"baseline","Any “tank” including a fish tank","Broad",215.161,"An aquarium","","No legal education or work experience","Lean Liberal","An aquarium",1
"R_5G378W6gazqwthj",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",40.825,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_1qk57JzBOkEG8c0",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",43.143,"Bicycle","","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_6ETsIrd4JdIh2Rz",9,"simple","Any “sign” including a happy birthday banner","Broad",12.387,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_7iklbg7x6TdZ3iN",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",65.39,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_59n3vLWtspUBf51",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",39.901,"Nicholas","","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_1GCww2ptMEY3V5r",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",96.819,"Gun","This experiment was interesting and made me think carefully about how laws are worded and how words like clinic can be interpreted differently. ","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6KeX2coFdKRHwuB",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",24.54,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_6M4fz5cnWKW9j2u",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",38.491,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_5io2vgScf1JPgHv",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",26.56,"Bicycle","","No legal education or work experience","Lean Liberal","Bicycle",1
"R_7E4N9gAXt9v6rKq",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",39.594,"At the campground","na","No legal education or work experience","Conservative/Republican","At the campground",1
"R_3rTxzEIitYgAxD9",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",50.07,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_5kFpztORfOf3sdP",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",39.357,"Joshua","","No legal education or work experience","Lean Conservative","Joshua",1
"R_7uPShRqvhcrYOZ3",3,"simple","Any “clinic” including a wellness spa","Broad",24.373,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_3m6S2TZW7StVtSh",7,"simple","Any “detailed representations” including an intricate painting","Broad",53.208,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_6n0ZPnBq7UYrlVE",8,"baseline","Any “tank” including a fish tank","Broad",10.603,"A pet store","No","No legal education or work experience","Liberal/Democrat","An aquarium",0
"R_5z6MMzftvNbaiW5",10,"phrasal","Any “machine” including a small sewing machine","Broad",25.357,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_1YXvxVIcFoMCbpI",9,"phrasal","Promotional “signs” like advertisements or flyers","Restricted",21.378,"IT","This sounds like someone with a specific religious background, who does not celebrate birthdays, complained. I think everyone needs to consider that we all have different beliefs, and to be curious and accepting, rather than condemning.","No legal education or work experience","Progressive (most liberal)","IT",1
"R_7B7ZM9DX1DWDCw1",12,"baseline","Any “vehicle” including a bicycle","Broad",33.885,"Bicycle","","Some law-related coursework","Lean Liberal","Bicycle",1
"R_6zds9Fche1vzi2Q",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",19.767,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_7TzSUSl8zpT2khP",7,"baseline","Any “detailed representations” including an intricate painting","Broad",43.581,"Joshua","","Some law-related coursework","Liberal/Democrat","Joshua",1
"R_6pXQErukNhoH9Xz",10,"baseline","Any “machine” including a small sewing machine","Broad",46.831,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_6nx82SM8DjbBPEG",9,"phrasal","Promotional “signs” like advertisements or flyers","Restricted",21.379,"IT","","Some law-related coursework","Liberal/Democrat","IT",1
"R_1IZCHTuci6sgduU",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",62.102,"Orca","","No legal education or work experience","Lean Liberal","Orca",1
"R_6W3Vir4o61Piq9b",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",16.813,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_5IcoPuTn3AUufkP",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",88.434,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_6pYK9YxB0dLqQZb",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",62.82,"Power plant","","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_5SVlqmouIVux3IR",6,"phrasal","“Waste” that could attract animals like food or drinks","Restricted",29.258,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_1ot1n3KUtv9ZWeG",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",57.697,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_6qKJW9FWQCwXW6t",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",48.678,"In her purse","the experiment was easy to understand and had no technical issues","No legal education or work experience","Conservative/Republican","In her purse",1
"R_7ruAbJbmtbJpa9e",1,"baseline","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",26.575,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_1jBWNPDOOoIXW9z",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",63.271,"In her purse","","No legal education or work experience","Lean Conservative","In her purse",1
"R_1iQEtzOoB6R83xd",4,"baseline","Any “relinquishment” including a temporary lease","Broad",34.095,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_19aFx5WRElnFHdM",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",16.03,"An aquarium","","No legal education or work experience","Lean Liberal","An aquarium",1
"R_7fqN0BlzZlDPUfD",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",27.431,"Nicholas","","No legal education or work experience","Lean Liberal","Nicholas",1
"R_1QilEVfHmsRbH9r",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",25.726,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_5HA1w2t2KRouvMl",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",34.068,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_69aVIytkuXIPoQl",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",295.259,"Bicycle","","No legal education or work experience","Lean Liberal","Bicycle",1
"R_7b1wABsOPmNJ2sF",7,"baseline","Any “detailed representations” including an intricate painting","Broad",33.25,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_1rTONaWGt1MXuLy",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",38.476,"Housing subsidy","","No legal education or work experience","Right-wing (most conservative)","Housing subsidy",1
"R_5wFzxQGUJvpWLFM",3,"baseline","Any “clinic” including a wellness spa","Broad",58.112,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_66eXl1I2MEbSpYL",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",33.678,"An aquarium","I think that kind of tank doesn't count for the intended ordinance. ","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_7AFQ989UdazAuK4",10,"simple","Any “machine” including a small sewing machine","Broad",52.114,"Sewing machine","The rule is stupid but she did violate it.  Machine would refer also to computers, sleep apnea machines, anti-noise machines, fish tank filtering systems, etc. ","Some law-related coursework","Progressive (most liberal)","Sewing machine",1
"R_1v7hJuIOFaZ03Qq",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",41.858,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_6oKOM8HDMe4hD1A",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",28.07,"Housing subsidy","Thank you!!","Some law-related coursework","Conservative/Republican","Housing subsidy",1
"R_5Lk0YojQI0UsQBX",10,"baseline","Loud “machines” like washers or dryers","Restricted",20.906,"Sewing machine","","No legal education or work experience","Lean Conservative","Sewing machine",1
"R_53agBVFT0OtuTk5",3,"baseline","Any “clinic” including a wellness spa","Broad",25.203,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_7dnxkKNnXVAUjUB",9,"phrasal","Any “sign” including a happy birthday banner","Broad",37.973,"Sales","","Some law-related coursework","Conservative/Republican","IT",0
"R_3JEdHCfUPAKPXE7",8,"simple","Any “tank” including a fish tank","Broad",37.631,"An aquarium","None.","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_6QvndjkofjTdXSV",7,"baseline","Architectural “detailed representations” like blueprints and technical drawings","Restricted",26.375,"Joshua","Thanks!","No legal education or work experience","Lean Conservative","Joshua",1
"R_3gRXsTp6E1Z0D2p",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",20.141,"Nicholas","Love you!","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_6hA2EBP3s4kNqxu",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",23.315,"IT","","No legal education or work experience","Lean Liberal","IT",1
"R_1tT2EgsNOV0fG2l",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",33.85,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
